Tweet Count,Username,Text,Created At,Retweets,Likes
1,ellie,watching my classmates rip everything from chatgpt… this is embarrassing https://t.co/3C1Rg74umW,Mon Sep 09 04:17:40 +0000 2024,0,2
2,サロンSUTEKI✳︎千葉県館山市,"chatGPTのすごさに怯える先生と私😂
でも負けないのが私達w

#何に勝とうとしてるのか",Tue Sep 10 08:29:59 +0000 2024,0,3
3,konnta0,"ChatGPT を全然使って無くて不意に JetBrains AI Assistant じゃ答えてくれなさそうな内容の質問を AI にしたいときに Grok が使えそう。という気づき
(課金してまで使うか？という話だが、画像も生成できるんでね？",Tue Sep 10 09:05:52 +0000 2024,0,1
4,Rimom,"I'm trying to reproduce it consistently, but ChatGPT is still struggling. It is almost 50-50 🫤",Tue Sep 10 11:05:29 +0000 2024,0,0
5,chocolate,"ChatGPT ブラウザから一時チャットが使えなくなっててメッチャ不便

 #ChatGPT https://t.co/tC98sopKpn",Sun Sep 08 04:44:45 +0000 2024,0,0
6,George M,"ChatGPT is a powerful copywriter!

But most people don't know how to unlock its full potential

That's why I built 500 prompts to make you a top 1% copywriter

To get it:

Like, RT &amp; Comment ""send"" and I'll DM it to you.

(Must be following me) https://t.co/Egkqzho89J",Sat Sep 07 12:43:51 +0000 2024,333,587
7,Mr. Airplane mode ✈️,ChatGPT валідизує мої емоції 🤗 https://t.co/TKeTXjiV9r,Mon Sep 09 05:41:43 +0000 2024,0,0
8,Suppressed News.,"A woman asks ChatGPT about Islam and if women are oppressed because of it, listen: https://t.co/P21jbANR9d",Sat Sep 07 13:57:10 +0000 2024,2623,8574
9,(Fana) 🇪🇷,"will let the experts define what news means but for the sake of asking bc i searched google, chatgpt, linkedin, instagram, and Tiktok, and still do not know the answers to any of these questions. https://t.co/SS9iliow3a",Tue Sep 10 08:28:33 +0000 2024,0,0
10,AI猫,"TikTokでAIアフィするなら全員「D-ID」を使ったほうが良いにゃ。

SeaArtとChatGPTで画像と台本を作ったら「 D-ID 」が残りの作業を全部作ってくれる。本来1時間かかる作業が1分で終わってバズ動画を量産できるから、3ヶ月で月30万円稼げる自販機ができる。

収益自動化したい人は「🐱」送ってにゃん https://t.co/jsQrPWCHG0",Tue Sep 03 11:18:06 +0000 2024,23,467
11,ようせん,断言しますが、AppleEventで発表された『iPhone16』を今すぐ調べてください。iOS18が導入されて、AI「アップルインテリジェンス」が2025年に使える予定。SiriがChatGPTと連携するから僕たちの日常が変わる。「カメラコントロールボタン」で、カメラ起動やズーム調節がカンタンになる。気になる機能の詳 https://t.co/6sxd8G5RBQ,Mon Sep 09 20:52:38 +0000 2024,33,94
12,Jafar Najafov,"ChatGPT is a money-printing machine.

10 ChatGPT prompts that'll make you rich:

(10/10 would bookmark this) https://t.co/N6F873KS2y",Sun Sep 08 05:40:02 +0000 2024,118,634
13,Kurttaval,"İnsan olsaymış, İslam’ı Hristiyanlığa tercih edeceğini ve kelime-i şehadet getireceğini ifade ETMİŞ #ChatGPT https://t.co/DHjUF0XMnA",Mon Sep 09 12:53:19 +0000 2024,0,0
14,李老师不是你老师,9月2日，一博主询问ChatGPT“侵占中国领土最多的国家是哪个”ChatGPT回答：“是中国的好朋友俄罗斯”对此，一些网友指责博主是间谍，故意挑拨中俄关系。 https://t.co/2M8CB6fwbB,Thu Sep 05 11:29:03 +0000 2024,321,2237
15,Pediavenir,🇫🇷 FLASH – Emmanuel Macron a reconnu avoir utilisé ChatGPT pour trouver un Premier Ministre. https://t.co/4x7VnU4QT2,Fri Sep 06 14:30:26 +0000 2024,573,8525
16,Mehdi Allahyari,امروز پسرم که ۸ سالشه، فقط با کمک  از chatGPT تقریبا تو ۳۰ دقیقه یک چت بات نوشت که کار میکرد. تنها کمک من وارد کردن API key بود و باز کردن dev tools تا بتونه error ها را کپی کنه.  روش chatGPT در پیاده سازی حالت streaming جالبه. واقعا AI چقدر به آموزش کمک میکنه. کدها را گذاشتم. https://t.co/ruYMAXOo8n,Sun Sep 01 03:38:23 +0000 2024,5,165
17,Emeka,@instablog9ja From ChatGPT https://t.co/gC8DP0oKkL,Mon Sep 09 17:42:33 +0000 2024,0,0
18,Nelly R Q,ChatGPT Cheat Sheet to Make Money; https://t.co/1CHYKyxhzr,Sat Sep 07 04:52:33 +0000 2024,368,2213
19,ゆうや@AI×ノーコード,"ChatGPT、Claudeに計6000円課金しているので、節約でStreamlitで自分用GPT作った！
・OpenAI、Claude、Geminiが使える
・Streamlit Cloudにデプロイしたので無料
・Artifactsも使用可能
下記Qiitaを参考にしました！！！
https://t.co/xxyQzXqPs0 https://t.co/bQ7ABBCifX",Mon Sep 09 23:39:29 +0000 2024,1,3
20,ひつじ,"一瞬だけSearchGPTがChatGPTで顔を出した😂
Windowsのブラウザだと、リロード時にcssが当たるまでに時間がかかるのかな。

もうすぐSearchGPTがリリースされる兆しか。いよいよGoogleの領土へ越境攻撃。
#ChatGPT  #OpenAI https://t.co/Q5a193OUT8",Sun Sep 01 06:38:22 +0000 2024,1,6
